"No.","Time","Source","Destination","Protocol","Length","Info","Data","Data Length","Bytes"
"148","23:52:30.747856","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"149","23:52:30.749703","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"150","23:52:30.750964","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"151","23:52:30.751929","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"152","23:52:30.752916","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"153","23:52:30.756553","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"154","23:52:30.757624","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"155","23:52:30.758613","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"156","23:52:30.822386","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"157","23:52:30.886523","controller","host","HCI_EVT","46","Rcvd LE Meta (LE Advertising Report)","","",""
"158","23:52:31.004173","controller","host","HCI_EVT","25","Rcvd LE Meta (LE Advertising Report)","","",""
"159","23:52:31.005034","controller","host","HCI_EVT","30","Rcvd LE Meta (LE Advertising Report)","","",""
"160","23:52:31.033781","controller","host","HCI_EVT","25","Rcvd LE Meta (LE Advertising Report)","","",""
"161","23:52:31.063873","controller","host","HCI_EVT","25","Rcvd LE Meta (LE Advertising Report)","","",""
"162","23:52:31.094159","controller","host","HCI_EVT","25","Rcvd LE Meta (LE Advertising Report)","","",""
"163","23:52:31.125992","controller","host","HCI_EVT","25","Rcvd LE Meta (LE Advertising Report)","","",""
"164","23:52:31.156312","controller","host","HCI_EVT","25","Rcvd LE Meta (LE Advertising Report)","","",""
"165","23:52:31.162547","host","controller","HCI_CMD","6","Sent LE Set Scan Enable","","",""
"166","23:52:31.164221","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Enable)","","",""
"167","23:52:31.165032","host","controller","HCI_CMD","11","Sent LE Set Scan Parameters","","",""
"168","23:52:31.166030","controller","host","HCI_EVT","7","Rcvd Command Complete (LE Set Scan Parameters)","","",""
"169","23:52:31.166917","host","controller","HCI_CMD","19","Sent LE Set Advertising Parameters","","",""
